CRIME_TYPE,LOCALITY,TOTAL_CRIME_COUNT
BATTERY,COMMERCIAL / BUSINESS OFFICE,2355
OTHER OFFENSE,RESIDENCE PORCH/HALLWAY,2306
BURGLARY,"SCHOOL, PUBLIC, BUILDING",2230
BATTERY,DEPARTMENT STORE,2053
ASSAULT,DEPARTMENT STORE,1915
ROBBERY,RESIDENTIAL YARD (FRONT/BACK),1892
ASSAULT,VEHICLE NON-COMMERCIAL,1860
OTHER OFFENSE,GAS STATION,1758
BATTERY,RESIDENCE-GARAGE,1750
THEFT,CHA PARKING LOT/GROUNDS,1721
BURGLARY,RESIDENCE PORCH/HALLWAY,1720
ROBBERY,RESIDENCE-GARAGE,1689
OTHER OFFENSE,RESIDENTIAL YARD (FRONT/BACK),1544
OTHER OFFENSE,RESIDENCE-GARAGE,1418
OTHER OFFENSE,GROCERY FOOD STORE,1375
NARCOTICS,RESTAURANT,1328
MOTOR VEHICLE THEFT,SIDEWALK,1199
CRIMINAL DAMAGE,DEPARTMENT STORE,1195
DECEPTIVE PRACTICE,ALLEY,1194
BURGLARY,STREET,1177
BURGLARY,PARKING LOT/GARAGE(NON.RESID.),1144
ROBBERY,DEPARTMENT STORE,1032
MOTOR VEHICLE THEFT,APARTMENT,992
OTHER OFFENSE,PARK PROPERTY,958
ROBBERY,"SCHOOL, PUBLIC, BUILDING",931
BURGLARY,DEPARTMENT STORE,911
ROBBERY,CHA PARKING LOT/GROUNDS,884
DECEPTIVE PRACTICE,"SCHOOL, PUBLIC, BUILDING",848
NARCOTICS,SMALL RETAIL STORE,846
NARCOTICS,RESIDENCE-GARAGE,826
NARCOTICS,GROCERY FOOD STORE,713
ASSAULT,RESIDENCE-GARAGE,681
DECEPTIVE PRACTICE,VEHICLE NON-COMMERCIAL,679
MOTOR VEHICLE THEFT,CHA PARKING LOT/GROUNDS,661
OTHER OFFENSE,DEPARTMENT STORE,655
BURGLARY,PARK PROPERTY,639
DECEPTIVE PRACTICE,RESIDENCE PORCH/HALLWAY,615
DECEPTIVE PRACTICE,PARK PROPERTY,540
OTHER OFFENSE,CHA PARKING LOT/GROUNDS,525
BURGLARY,ALLEY,481
MOTOR VEHICLE THEFT,PARK PROPERTY,473
BURGLARY,GAS STATION,469
ROBBERY,COMMERCIAL / BUSINESS OFFICE,440
MOTOR VEHICLE THEFT,COMMERCIAL / BUSINESS OFFICE,371
BURGLARY,RESIDENTIAL YARD (FRONT/BACK),320
DECEPTIVE PRACTICE,RESIDENTIAL YARD (FRONT/BACK),259
BURGLARY,VEHICLE NON-COMMERCIAL,184
BURGLARY,SIDEWALK,181
MOTOR VEHICLE THEFT,"SCHOOL, PUBLIC, BUILDING",174
DECEPTIVE PRACTICE,RESIDENCE-GARAGE,174
DECEPTIVE PRACTICE,CHA PARKING LOT/GROUNDS,158
MOTOR VEHICLE THEFT,RESTAURANT,150
NARCOTICS,DEPARTMENT STORE,140
NARCOTICS,COMMERCIAL / BUSINESS OFFICE,139
MOTOR VEHICLE THEFT,GROCERY FOOD STORE,135
BURGLARY,CHA PARKING LOT/GROUNDS,135
MOTOR VEHICLE THEFT,SMALL RETAIL STORE,112
MOTOR VEHICLE THEFT,RESIDENCE PORCH/HALLWAY,80
MOTOR VEHICLE THEFT,DEPARTMENT STORE,44
